11389886,21803552,ST3
9696025,17385831,ST3
4822222,17385831,ST3
8300620,17385831,ST3
13955716,17385831,ST3
13351384,17385831,ST3
2069219,17385831,ST3
13521323,17385831,ST3
14284540,17385831,ST3
17385831,17439818,ST3
17385831,20691789,ST3
17385831,19134229,ST3
4013485,17385831,ST3
17385831,21656668,ST3
14896033,23053699,ST3
2857623,23053699,ST3
11952735,23053699,ST3
9195362,23053699,ST3
7039646,7911686,ST3
7039646,17638222,ST3
7039646,15768167,ST3
7039646,22919520,ST3
7039646,16733950,ST3
3584277,7039646,ST3
7911686,14581601,ST3
3078767,14581601,ST3
14581601,16529002,ST3
3959503,14581601,ST3
13783549,14581601,ST3
1477578,14581601,ST3
8980221,14581601,ST3
14581601,22410173,ST3
14581601,15768167,ST3
14581601,15527452,ST3
14581601,22919520,ST3
3584277,14581601,ST3
13335071,14581601,ST3
14581601,17727663,ST3
14581601,14840321,ST3
2867246,11627705,ST3
5498222,11627705,ST3
11627705,13927065,ST3
11627705,23252484,ST3
7006052,11627705,ST3
11627705,18310878,ST3
1624010,11627705,ST3
11627705,14157859,ST3
11627705,20372195,ST3
7458833,11627705,ST3
3325456,11627705,ST3
3387990,11627705,ST3
10337386,11627705,ST3
8489742,11627705,ST3
11627705,18600879,ST3
11627705,18748516,ST3
11627705,22221713,ST3
10942052,11627705,ST3
9592646,11627705,ST3
6501291,11627705,ST3
11627705,12236729,ST3
11627705,18865693,ST3
2538511,11627705,ST3
11627705,20023016,ST3
11627705,14341904,ST3
10878062,11627705,ST3
19549489,22046596,ST3
10899860,22046596,ST3
22046596,23658098,ST3
11370967,22046596,ST3
11730227,22046596,ST3
20019847,22046596,ST3
3422759,22306604,ST3
3422759,12903179,ST3
3422759,12524506,ST3
3422759,22301096,ST3
3422759,7034031,ST3
3422759,18536907,ST3
3422759,10067028,ST3
3422759,19926877,ST3
3422759,11517213,ST3
3422759,14736188,ST3
3422759,12971450,ST3
3422759,19247466,ST3
3422759,10391639,ST3
3422759,7678253,ST3
3422759,16987999,ST3
7377245,18101018,ST3
12306305,22207779,ST3
17788458,22207779,ST3
4889264,22207779,ST3
3058819,17871426,ST3
20601754,20601756,ST3
20601756,20601757,ST3
7130579,7682647,ST3
7682647,10467996,ST3
607724,7682647,ST3
938889,7682647,ST3
7682647,14778878,ST3
7891900,19944975,ST3
2461169,2668863,ST3
2461169,2668853,ST3
2461169,5751313,ST3
2461169,5751314,ST3
6432491,19752873,ST3
18070589,22303544,ST3
6233042,11066054,ST3
5148212,11066054,ST3
778875,20080077,ST3
732800,20080077,ST3
598994,20080077,ST3
418257,20080077,ST3
160739,20080077,ST3
771802,20080077,ST3
413620,20080077,ST3
5856886,20080077,ST3
427727,20080077,ST3
5086587,16378626,ST3
10689659,16378626,ST3
16378626,19442138,ST3
6693221,16378626,ST3
12473411,16378626,ST3
16378626,20368648,ST3
3667136,16378626,ST3
16378626,23494305,ST3
10826994,16378626,ST3
9525318,16378626,ST3
1863214,16378626,ST3
16378626,21425787,ST3
16378626,20036910,ST3
16378626,23574216,ST3
10671994,16378626,ST3
16378626,22424633,ST3
2668863,12614306,ST3
2668853,12614306,ST3
5751313,12614306,ST3
5751314,12614306,ST3
18489832,18611368,ST3
11933797,19549489,ST3
10685269,11933797,ST3
11933797,21247844,ST3
10131427,11933797,ST3
6527977,11933797,ST3
1896089,11933797,ST3
11933797,14702119,ST3
2575374,11933797,ST3
11933797,14598566,ST3
11933797,23058336,ST3
11933797,20019847,ST3
11933797,16098010,ST3
5297820,11933797,ST3
11933797,20082006,ST3
4716110,11933797,ST3
7187035,7187036,ST3
3061453,9604062,ST3
3061453,3493991,ST3
3061453,5102752,ST3
3061453,16458721,ST3
3061453,8805648,ST3
3061453,4193495,ST3
3061453,17467777,ST3
3061453,9552428,ST3
2867246,10601019,ST3
2867246,10368839,ST3
2867246,14879478,ST3
2867246,7458833,ST3
2867246,16924659,ST3
2867246,10337386,ST3
2867246,17791385,ST3
2867246,5523389,ST3
2867246,13834118,ST3
10893111,15537156,ST3
11050195,15537156,ST3
11717079,15537156,ST3
3578392,22306604,ST3
3578392,13955716,ST3
3578392,13351384,ST3
3578392,12524506,ST3
2069219,3578392,ST3
3578392,7678253,ST3
3585152,10685269,ST3
153462,947406,ST3
8425181,21781575,ST3
316912,2467221,ST3
2467221,13927065,ST3
2467221,23252484,ST3
2467221,7006052,ST3
2467221,14157859,ST3
2467221,7458833,ST3
775447,2467221,ST3
2467221,10337386,ST3
2467221,18600879,ST3
2467221,22221713,ST3
2467221,9592646,ST3
2467221,6501291,ST3
2467221,12236729,ST3
2467221,18865693,ST3
2467221,2538511,ST3
2467221,20023016,ST3
2467221,3318214,ST3
2467221,14341904,ST3
2467221,10878062,ST3
8425181,22670948,ST3
5967901,8917652,ST3
5967901,8917651,ST3
4672830,8071138,ST3
11540200,23597499,ST3
4612220,20954717,ST3
4612220,13122191,ST3
4612220,16142024,ST3
4612220,17477951,ST3
4721547,5869954,ST3
3024992,3024993,ST3
3024982,3024993,ST3
3024972,3024993,ST3
3024981,3024993,ST3
3024979,3024993,ST3
3024978,3024993,ST3
15193,20514481,ST3
10369570,20514481,ST3
9265781,20514481,ST3
635006,20514481,ST3
20514481,23484507,ST3
11066055,20514481,ST3
6419481,20514481,ST3
670011,20514481,ST3
1704751,20514481,ST3
17534703,20514481,ST3
18293811,20514481,ST3
7976872,20514481,ST3
302936,20514481,ST3
13325917,20514481,ST3
5055545,20514481,ST3
